,Sun,,,Mon,,,Tue,,,Wed,,,Thu,,,Fri,,,Sat,,
12/4/2016,,,,,,,,,,b,23:45,,w,3:45,4.00,w,2:00,2.75,b,0:00,9.00
,,,,,,,,,,,,,s,4:45,,s,3:30,,w,5:15,5.25
,,,,,,,,,,,,,w,6:15,1.50,w,8:45,5.25,s,10:30,
,,,,,,,,,,,,,s,11:30,,s,19:30,,w,11:30,1.00
,,,,,,,,,,,,,w,12:15,0.75,w,20:30,1.00,s,16:00,
,,,,,,,,,,,,,s,16:45,,,,,w,17:00,1.00
,,,,,,,,,,,,,w,17:30,0.75,,,,b,22:30,7.25
,,,,,,,,,,,,,s,21:00,,,,,,,
,,,,,,,,,,,,,w,21:30,0.50,,,,,,
,,,,,,,,,,,,,b,23:15,7.50,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12/11/2016,w,0:15,1.75,b,1:15,7.25,s,1:00,,w,3:30,4.50,b,0:30,7.00,s,0:15,,b,0:15,7.25
,s,2:30,,w,8:15,7.00,w,6:45,5.75,s,9:00,,w,2:15,1.75,w,1:15,1.00,w,4:30,4.25
,w,5:15,2.75,b,22:30,7.00,s,9:00,,w,10:15,1.25,s,3:00,,b,3:00,9.75,s,5:30,
,s,11:00,,w,23:30,1.00,w,10:00,1.00,s,12:30,,w,7:00,4.00,w,8:00,5.00,w,7:30,2.00
,w,12:00,1.00,,,,s,16:45,,w,13:00,0.50,s,8:45,,s,11:15,,b,23:30,6.25
,s,17:15,,,,,w,17:45,1.00,s,18:00,,w,9:45,1.00,w,12:30,1.25,,,
,w,18:00,0.75,,,,s,20:15,,w,18:30,0.50,s,17:45,,s,18:30,,,,
,s,19:15,,,,,w,20:45,0.50,s,19:15,,w,18:45,1.00,w,19:30,1.00,,,
,w,20:15,1.00,,,,b,23:00,9.25,w,20:30,1.25,s,21:30,,,,,,,
,,,,,,,,,,,,,w,22:30,1.00,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12/18/2016,w,4:30,5.00,w,3:15,4.50,w,2:00,3.50,w,5:30,6.75,w,5:15,6.75,b,0:30,9.00,w,4:45,6.75
,s,6:15,,s,4:45,,s,2:15,,s,5:45,,s,6:15,,w,5:30,5.00,s,6:15,
,w,7:45,1.50,w,7:00,2.25,w,4:15,2.00,w,7:00,1.25,w,7:45,1.50,s,8:00,,w,8:30,2.25
,s,12:00,,s,10:15,,s,5:30,,s,8:30,,s,10:15,,w,8:15,0.25,s,9:00,
,w,12:45,0.75,w,10:30,0.25,w,6:45,1.25,w,9:00,0.50,w,11:15,1.00,b,10:00,5.25,w,10:15,1.25
,s,15:15,,s,12:45,,s,12:45,,b,22:30,8.50,s,18:45,,,,,s,18:30,
,w,16:00,0.75,w,13:30,0.75,w,13:30,0.75,,,,w,19:30,0.45,,,,w,19:15,0.75
,s,18:15,,s,21:00,,s,17:00,,,,,,,,,,,b,22:00,11.00
,w,20:15,2.00,w,21:45,0.75,w,18:00,1.00,,,,,,,,,,,,
,b,22:45,10.00,b,22:30,8.50,s,20:00,,,,,,,,,,,,,
,,,,,,,w,21:00,1.00,,,,,,,,,,,,
,,,,,,,b,22:45,9.50,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
12/25/2016,w,1:00,3.00,w,6:00,6.50,b,0:45,7.25,b,1:15,8.00,b,2:30,8.75,b,0:00,6.00,w,3:45,5.25
,s,2:00,,s,15:45,,w,3:30,2.75,w,2:45,1.50,w,8:30,6.00,w,2:00,2.00,s,12:00,
,w,5:00,3.00,w,16:30,0.75,s,5:30,,s,4:15,,,,,s,3:15,,w,12:30,0.50
,b,23:30,6.00,,,,w,9:30,4.00,w,8:15,4.00,,,,w,5:45,2.50,s,16:45,
,,,,,,,s,16:00,,s,10:00,,,,,s,13:15,,w,18:00,1.25
,,,,,,,w,17:00,1.00,w,11:30,1.50,,,,w,14:00,0.75,b,23:00,7.00
,,,,,,,s,21:00,,s,18:30,,,,,s,16:45,,,,
,,,,,,,w,21:15,0.25,w,19:15,0.75,,,,w,17:45,1.00,,,
,,,,,,,,,,s,19:45,,,,,b,22:30,6.25,,,
,,,,,,,,,,w,20:30,0.75,,,,,,,,,
,,,,,,,,,,s,21:15,,,,,,,,,,
,,,,,,,,,,w,21:30,0.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1/1/2017,w,4:45,5.75,,,,b,23:45,,w,2:30,2.75,w,0:00,2.00,w,3:00,4.00,b,0:00,7.75
,s,7:00,,,,,,,,s,3:45,,s,0:45,,s,3:30,,w,4:00,4.00
,w,8:30,1.50,,,,,,,w,4:15,0.50,w,6:30,5.45,w,4:30,1.00,s,5:30,
,s,9:30,,,,,,,,s,5:45,,s,7:30,,s,5:00,,w,13:00,7.50
,w,10:30,1.00,,,,,,,w,6:45,1.00,w,8:30,1.00,w,5:30,0.50,,,
,s,13:30,,,,,,,,s,8:30,,s,10:00,,s,7:00,,,,
,w,14:45,1.25,,,,,,,w,9:30,1.00,w,10:45,0.75,w,7:45,0.75,,,
,s,15:15,,,,,,,,s,15:45,,s,11:30,,s,15:00,,,,
,w,16:15,1.00,,,,,,,w,16:15,0.50,w,11:45,0.25,w,15:45,0.75,,,
,s,16:30,,,,,,,,s,20:15,,s,16:00,,s,19:15,,,,
,w,18:30,2.00,,,,,,,w,21:00,0.75,w,16:30,0.50,w,20:00,0.75,,,
,s,19:00,,,,,,,,b,22:00,6.50,s,18:30,,,,,,,
,,,,,,,,,,,,,w,19:15,0.75,,,,,,
,,,,,,,,,,,,,b,23:00,11.00,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1/8/2017,b,2:15,11.50,w,2:00,3.00,w,2:00,3.00,w,2:45,3.75,b,0:00,9.75,,,,,,
,w,5:00,2.75,s,3:45,,s,2:45,,s,4:00,,w,2:15,2.25,,,,,,
,s,7:45,,w,6:30,2.25,w,5:00,2.25,w,6:30,2.50,s,3:00,,,,,,,
,w,8:45,1.00,s,8:45,,s,5:30,,s,7:15,,w,6:15,3.25,,,,,,
,s,12:15,,w,9:45,1.00,w,7:30,2.00,w,9:15,2.00,s,8:00,,,,,,,
,w,13:00,0.75,s,18:45,,s,9:15,,s,16:15,,w,9:45,1.75,,,,,,
,s,17:45,,w,19:30,0.75,w,10:15,1.00,w,17:00,0.75,s,17:15,,,,,,,
,w,18:45,1.00,b,23:00,7.00,s,18:15,,s,18:45,,w,18:00,0.75,,,,,,
,b,23:00,5.50,,,,w,19:15,1.00,w,19:30,0.75,,,,,,,,,
,,,,,,,b,23:00,9.25,,,,,,,,,,,,